"app_num"	"name"	"triggerIDs"	"actionIDs"	"id"	"installs_count"	"author"
"561"	"Turn off Smart Life Device at time set"	"['23']"	"['255']"	"HmyJG7ER"	"2002"	"sean1453995397"
"562"	"Turn on Smart Life device"	"['23']"	"['254']"	"rQC3gGtm"	"1288"	"matthoke74"
"563"	"Turn on you device when you arrive at home"	"['34']"	"['254']"	"N49iJ3Bd"	"2706"	"digitalindonesia01"
"564"	"Trigger Smart Life Scene when you arrive home"	"['34']"	"['330']"	"V5WLFAtz"	"3034"	"smsdavidparker"
"565"	"Nightlight Off"	"['89']"	"['255']"	"x45Gc2CF"	"344"	"ifttt_deleted_users"
"566"	"Smart Life to Smartthings Lights/Outlets (Turn On)"	"['396']"	"['337']"	"YZrvGLQP"	"321"	"mshenoda"
"567"	"Smart Life to Smartthings Lights/Outlets (Turn Off)"	"['397']"	"['42']"	"iGUjZr8W"	"278"	"mshenoda"
"568"	"Trigger Smartlife Scene when leaving home"	"['41']"	"['330']"	"GNbVXYes"	"1244"	"smsdavidparker"
"569"	"You don't have to remember to turn off the lights because this applet will do it for you!"	"['41']"	"['255']"	"YPMyaTi2"	"446"	"connorcaunt1"
"570"	"Ring motion turns on a Smart Life Device"	"['316']"	"['254']"	"Ny8Mswn6"	"15"	"petemarsh"
"571"	"OnButton SmartLife"	"['397']"	"['254']"	"R8sx7NM4"	"117"	"ifttt_deleted_users"
"572"	"TurnOFF SmartLife"	"['396']"	"['255']"	"evTCXn7G"	"47"	"ifttt_deleted_users"
"573"	"Arlo turns on Smart Life"	"['165']"	"['254']"	"chdUkLzN"	"165"	"sminasian"
"574"	"Scene activate With Ring doorbell"	"['316']"	"['330']"	"kQAeWxcT"	"128"	"joshuaeadkins"
"575"	"Activate a scene every day at a specific time."	"['23']"	"['398']"	"N4TinAfH"	"1423"	"TP-Link Kasa"
"578"	"Turn on your light at sunset"	"['44']"	"['402']"	"fjksUhKu"	"4663"	"TP-Link Kasa"
"579"	"Toggle your Kasa lights on/off with Button widget"	"['29']"	"['403']"	"e57aSGcL"	"12052"	"bosser"
